GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
TransactionMS,com.corebank.TransactionMS.service.impl,TransactionServiceImpl,230,0,12,0,43,0,19,0,13,0
TransactionMS,com.corebank.TransactionMS.model,Transaction,0,21,0,0,0,8,0,1,0,1
TransactionMS,com.corebank.TransactionMS.model,Account,12,0,0,0,5,0,1,0,1,0
TransactionMS,com.corebank.TransactionMS,TransactionMsApplication,8,0,0,0,3,0,2,0,2,0
TransactionMS,com.corebank.TransactionMS.exception,InsufficientFundsException,4,0,0,0,2,0,1,0,1,0
TransactionMS,com.corebank.TransactionMS.exception,AccountNotFoundException,5,0,0,0,2,0,1,0,1,0
TransactionMS,com.corebank.TransactionMS.exception,GlobalExceptionHandler,49,0,0,0,9,0,5,0,5,0
TransactionMS,com.corebank.TransactionMS.exception,GlobalExceptionHandler.ErrorResponse,13,0,0,0,6,0,3,0,3,0
TransactionMS,com.corebank.TransactionMS.exception,InvalidTransferAmountException,4,0,0,0,2,0,1,0,1,0
TransactionMS,com.corebank.TransactionMS.controller,TransactionController,0,68,0,0,0,18,0,8,0,8
TransactionMS,com.corebank.TransactionMS.dto,WithdrawalRequestDTO,0,9,0,0,0,4,0,1,0,1
TransactionMS,com.corebank.TransactionMS.dto,DepositRequestDTO,0,9,0,0,0,4,0,1,0,1
TransactionMS,com.corebank.TransactionMS.dto,TransferRequestDTO,0,12,0,0,0,5,0,1,0,1
